,Date,N,windows,scaled_windows,MSE,RMSE
0,0,-0.8570860325809405,1,1.0,0,0
1,1,-0.655991455721848,2,1.0,0,0
2,2,-0.4354212349428392,3,1.0,0,0
3,3,0.4849888079999484,4,1.0,0,0
4,4,0.3097192985646076,5,1.0,0,0
5,5,0.5143545445754145,6,1.0,0,0
6,6,0.7788327266545085,7,1.0,0,0
7,7,0.4231847055397576,8,1.0,0,0
8,8,0.6819341426542137,9,1.0,0,0
9,9,1.2792171978187423,10,1.0,0,0
10,10,0.7862465751677878,11,1.0,0,0
11,11,0.6063705164864903,12,1.0,0,0
12,12,0.1706036481110495,13,1.0,0,0
13,13,0.3673981945776824,14,1.0,0,0
14,14,0.7310687076201542,15,1.0,0,0
15,15,0.2954347677289057,16,1.0,0,0
16,16,0.8334943092939043,17,1.0,0,0
17,17,0.7732343986160188,18,1.0,0,0
18,18,0.3169841139822155,19,1.0,0,0
19,19,-0.6309647377178151,20,1.0,0,0
20,20,-1.13581100117521,21,1.0,0,0
21,21,-1.2844383283463028,22,1.0,0,0
22,22,-1.1888089729494804,23,1.0,0,0
23,23,-1.2251577132730809,24,1.0,0,0
24,24,-0.7619316538576967,25,1.0,0,0
25,25,-0.1143076292952654,26,1.0,0,0
26,26,-0.6541472506256559,27,1.0,0,0
27,27,-1.6343725361714925,28,1.0,0,0
28,28,-1.864957362636632,29,1.0,0,0
29,29,-1.1942730366892205,30,1.0,0,0
30,30,-1.1470785932615808,31,1.0,0,0
31,31,-1.3388319584174575,32,1.0,0,0
32,32,-1.6525532993645886,33,1.0,0,0
33,33,-1.6932766204069578,34,1.0,0,0
34,34,-2.638891046282254,35,1.0,0,0
35,35,-2.508964370424373,36,1.0,0,0
36,36,-2.172007050186899,37,1.0,0,0
37,37,-2.898780684255065,38,1.0,0,0
38,38,-2.404343676262047,39,1.0,0,0
39,39,-2.374554220404825,40,1.0,0,0
40,40,-2.5274914756621087,41,1.0,0,0
41,41,-2.511526961709479,42,1.0,0,0
42,42,-3.5338752075660222,43,1.0,0,0
43,43,-2.9643451899998925,44,1.0,0,0
44,44,-3.1784196729284897,45,1.0,0,0
45,45,-2.6423942291683726,46,1.0,0,0
46,46,-3.3124675888084374,47,1.0,0,0
47,47,-4.15723715837663,48,1.0,0,0
48,48,-3.845276294105704,49,1.0,0,0
49,49,-4.036603852667317,50,1.0,0,0
50,50,-3.1586533834639985,51,1.0,0,0
51,51,-3.951630450422224,52,1.0,0,0
52,52,-3.7300892706997937,53,1.0,0,0
53,53,-3.8226797703460953,54,1.0,0,0
54,54,-4.677042200774969,55,1.0,0,0
55,55,-5.002793570780459,56,1.0,0,0
56,56,-4.794836496608718,57,1.0,0,0
57,57,-4.220942043994201,58,1.0,0,0
58,58,-3.7822004727183063,59,1.0,0,0
59,59,-3.021851500425181,60,1.0,0,0
60,60,-2.840298912478808,61,1.0,0,0
61,61,-2.6616290584199347,62,1.0,0,0
62,62,-3.1672017724339296,63,1.0,0,0
63,63,-3.6599240781017057,64,1.0,0,0
